input_row,standard_postcode,TOT_PERS1115jul,OCC_HH1115jul,X_BNG1115jul,Y_BNG1115jul,input_postcode 
456,SE135LS ,101.0,46.0,539154,174504,SE13 5LS
457,SE8 4QB ,5.0,3.0,537027,176601,SE8 4QB
458,SE129RA ,30.0,10.0,541410,171979,SE12 9RA
460,SE6 4NL ,51.0,19.0,536843,173058,SE6 4NL
461,SE6 2LA ,136.0,58.0,537970,173338,SE6 2LA
464,SE231NH ,40.0,15.0,536370,174094,SE23 1NH
465,SE231NH ,40.0,15.0,536370,174094,SE23 1NH
466,SE6 1TG ,6.0,3.0,538891,172718,SE6 1TG
467,SE6 1TG ,6.0,3.0,538891,172718,SE6 1TG
468,SE3 0TP ,65.0,34.0,539467,176044,SE3 0TP
469,SE233SB ,56.0,19.0,535281,173736,SE23 3SB
470,SE264BU ,53.0,21.0,534870,172614,SE26 4BU
471,SE8 5AE ,116.0,44.0,536035,178244,SE8 5AE
472,SE4 1DF ,40.0,22.0,536862,176513,SE4 1DF
473,SE233BP ,10.0,5.0,535002,173471,SE23 3BP
474,SE232PX ,59.0,26.0,535857,172606,SE23 2PX
475,SE8 4DX ,98.0,33.0,537209,176375,SE8 4DX
476,SE128NA ,36.0,16.0,539649,174530,SE12 8NA
477,SE232SP ,57.0,27.0,536313,172796,SE23 2SP
478,SE3 0TX ,78.0,29.0,539305,176390,SE3 0TX
479,SE4 2BB ,48.0,22.0,536401,175076,SE4 2BB
480,SE232NE ,48.0,28.0,535503,172939,SE23 2NE
481,BR1 5EP ,114.0,51.0,539790,171700,BR1 5EP
482,SE233HZ ,27.0,10.0,535173,172492,SE23 3HZ
483,SE135SG ,38.0,24.0,539396,175316,SE13 5SG
484,SE6 3RD ,19.0,8.0,537987,171349,SE6 3RD
485,SE264LJ ,51.0,18.0,535296,172015,SE26 4LJ
486,SE146AD ,287.0,2.0,536360,176857,SE14 6AD
487,BR1 5RL ,101.0,40.0,538451,171818,BR1 5RL
490,SE264HH ,61.0,27.0,536233,171903,SE26 4HH
491,SE265SE ,1.0,1.0,536318,171590,SE26 5SE
493,SE8 4ED ,71.0,30.0,537359,176432,SE8 4ED
494,SE231PS ,100.0,47.0,536354,173523,SE23 1PS
495,SE6 2LD ,209.0,83.0,537933,173402,SE6 2LD
497,SE264RD ,2.0,1.0,535005,172368,SE26 4RD
498,SE6 2SE ,85.0,26.0,538335,172375,SE6 2SE
501,SE4 1SA ,102.0,41.0,536998,174359,SE4 1SA
502,SE146TJ ,41.0,11.0,537118,176948,SE14 6TJ
504,SE4 1LE ,2.0,1.0,537237,175236,SE4 1LE
505,BR1 5PZ ,59.0,21.0,539021,171738,BR1 5PZ
506,SE4 2HH ,5.0,3.0,536060,175242,SE4 2HH
507,SE6 4TY ,4.0,2.0,537093,173490,SE6 4TY
509,SE266BL ,9.0,4.0,534772,171585,SE26 6BL
510,SE232QU ,103.0,39.0,536417,172097,SE23 2QU
511,BR1 5PD ,148.0,48.0,539251,171906,BR1 5PD
512,SE6 1UF ,59.0,22.0,539244,172342,SE6 1UF
514,SE1 3BW ,63.0,35.0,533656,179025,SE1 3BW
516,SE218QS ,60.0,25.0,533592,171896,SE21 8QS
517,SE152TT ,69.0,30.0,534566,177014,SE15 2TT
518,SE156BY ,19.0,11.0,533225,177457,SE15 6BY
520,SE154PF ,37.0,14.0,534103,175952,SE15 4PF
521,SE151QP ,4.0,1.0,534575,177497,SE15 1QP
524,SE5 0LQ ,1.0,1.0,532228,177123,SE5 0LQ
527,SE220EP ,47.0,21.0,534305,174198,SE22 0EP
528,SE1 4RP ,7.0,1.0,533232,179147,SE1 4RP
529,SE229LA ,66.0,21.0,533947,174457,SE22 9LA
530,SE152AR ,66.0,28.0,535367,176058,SE15 2AR
531,SE153BU ,67.0,28.0,535801,175328,SE15 3BU
532,SE5 0PQ ,159.0,66.0,532097,177622,SE5 0PQ
533,SE173TR ,116.0,39.0,531664,178022,SE17 3TR
534,SE218NS ,72.0,27.0,533283,172329,SE21 8NS
535,SE5 8SN ,74.0,30.0,532963,176251,SE5 8SN
537,SE164PS ,52.0,21.0,534488,179579,SE16 4PS
541,SE162JH ,64.0,24.0,534868,179064,SE16 2JH
542,SE1 2AE ,2.0,1.0,533570,179825,SE1 2AE
543,SE171HJ ,19.0,5.0,533022,178787,SE17 1HJ
544,SE171PT ,8.0,7.0,532497,178834,SE17 1PT
545,SE114SN ,62.0,26.0,531562,179070,SE11 4SN
548,SE5 8UH ,27.0,14.0,533458,176785,SE5 8UH
549,SE1 3BW ,63.0,35.0,533656,179025,SE1 3BW
550,SE217AL ,51.0,18.0,533016,174251,SE21 7AL
551,SE171QD ,37.0,13.0,532885,178495,SE17 1QD
553,SE151RQ ,3.0,1.0,534323,177446,SE15 1RQ
554,SE5 7TF ,101.0,36.0,533244,177298,SE5 7TF
555,SE1 7JB ,6.0,2.0,531479,179379,SE1 7JB
558,SE171NQ ,113.0,54.0,532340,178626,SE17 1NQ
559,SE164UP ,6.0,2.0,534110,179628,SE16 4UP
560,SE162TY ,79.0,41.0,535237,179137,SE16 2TY
565,SE173DT ,1.0,1.0,532078,178089,SE17 3DT
566,SE172HH ,57.0,18.0,532484,178081,SE17 2HH
569,SE1 4AN ,3.0,1.0,532857,179036,SE1 4AN
570,SE233LE ,4.0,0.0,535452,174082,SE23 3LE
572,SE5 0TS ,74.0,20.0,532058,177328,SE5 0TS
573,SE5 0TS ,74.0,20.0,532058,177328,SE5 0TS
574,SE1 0RF ,4.0,1.0,531785,179712,SE1 0RF
577,SE217LD ,83.0,0.0,533228,172804,SE21 7LD
578,SE217AA ,11.0,0.0,533196,172317,SE21 7AA
580,SE228SU ,1.0,1.0,533359,174611,SE22 8SU
581,SE249LY ,63.0,16.0,532217,174668,SE24 9LY
582,SE5 0TW ,22.0,12.0,531950,177174,SE5 0TW
584,SE1 7EH ,77.0,0.0,530620,179339,SE1 7EH
586,SE156SY ,30.0,9.0,534172,177492,SE15 6SY
589,SE163XU ,19.0,6.0,534297,178941,SE16 3XU
590,E3  3HL ,96.0,31.0,537765,182742,E3 3HL
593,E2  0PS ,153.0,45.0,535519,182774,E2 0PS
594,E1  4NQ ,13.0,4.0,535639,182083,E1 4NQ
596,E1  4EE ,114.0,41.0,535593,182316,E1 4EE
598,E2  0NF ,33.0,22.0,535478,183008,E2 0NF
599,E3  3BT ,42.0,12.0,537975,182706,E3 3BT
600,E1  7RQ ,8.0,6.0,533947,181422,E1 7RQ
601,E14 7NG ,47.0,11.0,536207,181509,E14 7NG
